TimeStamp,Price,Area,PriceSqm,Rooms,Type,ApartmentFloor,TotalFloors,Year,Link,City,Neighborhood,Street
5/30/2022,51000,21,2428.571429,1,1 kambario butas ,9,9,1972,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-naujininkuose-saltkalviu-g-7604785.html,Vilnius, Naujininkuose, Šaltkalviu g.
5/30/2022,192000,56,3428.571429,2,2 kambariu butas ,2,6,1955,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-senamiestyje-j-basanaviciaus-g-7604596.html,Vilnius, Senamiestyje, J. Basanaviciaus g.
5/30/2022,180000,66.73,2697.437434,2,2 kambariu butas ,3,11,1981,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-snipiskese-seimyniskiu-g-7604569.html,Vilnius, Šnipiškese, Šeimyniškiu g.
5/30/2022,440000,72,6111.111111,3,"3 kambariu butas Vilnius, ",2,3,1940,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilnius-vilniuje-subaciaus-g-7604566.html,Vilnius, Subaciaus g.,NULL
5/30/2022,145000,73,1986.30137,3,3 kambariu butas ,1,12,1983,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-naujininkuose-tyzenhauzu-g-7604494.html,Vilnius, Naujininkuose, Tyzenhauzu g.
5/30/2022,70000,33,2121.212121,1,"1 kambario butas Vilnius, Šviesos g.",3,5,1973,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilnius-sviesos-g-7604485.html,Vilnius,NULL,NULL
5/30/2022,286000,40.31,7095.013644,2,2 kambariu butas ,3,4,2020,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-senamiestyje-bazilijonu-g-7604419.html,Vilnius, Senamiestyje, Bazilijonu g.
5/30/2022,79500,28.66,2773.900907,1,1 kambario butas ,1,4,1959,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-naujininkuose-zanavyku-g-7604422.html,Vilnius, Naujininkuose, Zanavyku g.
5/30/2022,107000,38.86,2753.474009,2,2 kambariu butas ,4,7,2022,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-naujininkuose-kapsu-g-7604464.html,Vilnius, Naujininkuose, Kapsu g.
5/30/2022,74000,33,2242.424242,1,1 kambario butas ,5,5,1974,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-karoliniskese-vido-maciuleviciaus-g-7604404.html,Vilnius, Karoliniškese, Vido Maciuleviciaus g.
5/30/2022,139000,66.26,2097.796559,3,3 kambariu butas ,11,12,1976,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-naujininkuose-darbininku-g-7604473.html,Vilnius, Naujininkuose, Darbininku g.
5/30/2022,350000,104,3365.384615,4,4 kambariu butas ,3,4,1955,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-vilniuje-senamiestyje-m-valanciaus-g-7604293.html,Vilnius, Senamiestyje, M. Valanciaus g.
5/30/2022,549000,100,5490,3,3 kambariu butas ,2,3,2014,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-senamiestyje-traku-g-7604098.html,Vilnius, Senamiestyje, Traku g.
5/30/2022,69900,34,2055.882353,2,2 kambariu butas ,5,5,1978,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-jeruzaleje-ateities-g-7604065.html,Vilnius, Jeruzaleje, Ateities g.
5/30/2022,214000,53.6,3992.537313,2,2 kambariu butas ,5,6,1961,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-senamiestyje-a-vienuolio-g-7604023.html,Vilnius, Senamiestyje, A. Vienuolio g.
5/30/2022,239000,59.89,3990.649524,3,3 kambariu butas ,4,5,2021,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-naujamiestyje-gerosios-vilties-g-7604026.html,Vilnius, Naujamiestyje, Gerosios Vilties g.
5/30/2022,119300,42.76,2789.990645,2,2 kambariu butas ,9,16,2022,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-virsuliskese-juozo-rutkausko-g-7603822.html,Vilnius, Viršuliškese, Juozo Rutkausko g.
5/30/2022,109300,37.83,2889.241343,1,1 kambario butas ,8,16,2022,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-virsuliskese-juozo-rutkausko-g-7603819.html,Vilnius, Viršuliškese, Juozo Rutkausko g.
5/30/2022,116700,37.65,3099.601594,1,1 kambario butas ,14,16,2022,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-virsuliskese-juozo-rutkausko-g-7603825.html,Vilnius, Viršuliškese, Juozo Rutkausko g.
5/30/2022,119900,44.84,2673.951829,2,2 kambariu butas ,2,16,2022,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-virsuliskese-juozo-rutkausko-g-7603813.html,Vilnius, Viršuliškese, Juozo Rutkausko g.
5/30/2022,115300,43.19,2669.599444,2,2 kambariu butas ,4,16,2022,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-virsuliskese-juozo-rutkausko-g-7603816.html,Vilnius, Viršuliškese, Juozo Rutkausko g.
5/30/2022,127500,101,1262.376238,4,4 kambariu butas ,3,3,1956,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-vilniuje-zemieji-paneriai-savanoriu-pr-7603720.html,Vilnius, Žemieji Paneriai, Savanoriu pr.
5/30/2022,140000,46,3043.478261,2,2 kambariu butas ,2,NULL,1963,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-antakalnyje-p-vileisio-g-7603597.html,Vilnius, Antakalnyje, P. Vileišio g.
5/30/2022,90000,50,1800,2,2 kambariu butas ,1,9,1984,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-justiniskese-rygos-g-7603591.html,Vilnius, Justiniškese, Rygos g.
5/30/2022,490000,105.89,4627.443574,3,3 kambariu butas ,7,11,2008,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-snipiskese-a-juozapaviciaus-g-7603531.html,Vilnius, Šnipiškese, A. Juozapaviciaus g.
5/30/2022,190000,51.52,3687.888199,2,2 kambariu butas ,5,6,1953,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-centre-gedimino-pr-7603405.html,Vilnius, Centre, Gedimino pr.
5/30/2022,185000,94.15,1964.949549,4,4 kambariu butas ,3,5,1969,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-vilniuje-zirmunuose-tuskulenu-g-7603399.html,Vilnius, Žirmunuose, Tuskulenu g.
5/30/2022,325000,130,2500,2,2 kambariu butas ,4,4,1940,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-naujamiestyje-vytenio-g-7603306.html,Vilnius, Naujamiestyje, Vytenio g.
5/30/2022,113500,59.84,1896.724599,3,3 kambariu butas ,5,5,1966,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-zirmunuose-zirmunu-g-7603291.html,Vilnius, Žirmunuose, Žirmunu g.
5/30/2022,129500,74.07,1748.346159,2,2 kambariu butas ,1,5,2003,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-baltupiuose-kazio-borutos-g-7603129.html,Vilnius, Baltupiuose, Kazio Borutos g.
5/30/2022,185000,59.71,3098.308491,2,2 kambariu butas ,2,3,1950,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-naujamiestyje-savanoriu-pr-7603093.html,Vilnius, Naujamiestyje, Savanoriu pr.
5/30/2022,129500,74.07,1748.346159,3,3 kambariu butas ,1,5,2003,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-visoriuose-kazio-borutos-g-7603123.html,Vilnius, Visoriuose, Kazio Borutos g.
5/30/2022,420000,102,4117.647059,3,3 kambariu butas ,8,9,2008,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-snipiskese-konstitucijos-pr-7602844.html,Vilnius, Šnipiškese, Konstitucijos pr.
5/30/2022,152000,74.44,2041.91295,3,3 kambariu butas ,4,5,2014,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-pilaiteje-7602727.html,Vilnius, Pilaiteje,NULL
5/30/2022,260000,50.48,5150.554675,2,2 kambariu butas ,1,3,2020,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-naujamiestyje-saltiniu-g-7602667.html,Vilnius, Naujamiestyje, Šaltiniu g.
5/30/2022,107000,48.84,2190.827191,2,2 kambariu butas ,1,5,1967,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-zirmunuose-zirmunu-g-7602649.html,Vilnius, Žirmunuose, Žirmunu g.
5/30/2022,375000,81.98,4574.286411,3,3 kambariu butas ,4,5,1952,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-senamiestyje-gedimino-pr-7602628.html,Vilnius, Senamiestyje, Gedimino pr.
5/30/2022,375000,81.98,4574.286411,3,3 kambariu butas ,4,5,1952,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-naujamiestyje-gedimino-pr-7602631.html,Vilnius, Naujamiestyje, Gedimino pr.
5/30/2022,185000,94.15,1964.949549,5,5 kambariu butas ,3,5,1969,https://domoplius.lt/skelbimai/parduodamas-5-kambariu-butas-vilniuje-zirmunuose-tuskulenu-g-7602466.html,Vilnius, Žirmunuose, Tuskulenu g.
5/30/2022,119900,70.8,1693.502825,3,3 kambariu butas ,1,5,1974,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-rasos-liepkalnio-g-7602472.html,Vilnius, Rasos, Liepkalnio g.
5/30/2022,96000,41,2341.463415,1,1 kambario butas ,3,5,1997,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-pasilaiciuose-laisves-pr-7602403.html,Vilnius, Pašilaiciuose, Laisves pr.
5/30/2022,200000,80,2500,3,3 kambariu butas ,5,9,2008,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-pasilaiciuose-perkunkiemio-g-7602178.html,Vilnius, Pašilaiciuose, Perkunkiemio g.
5/30/2022,249000,68,3661.764706,3,3 kambariu butas ,1,NULL,1940,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-senamiestyje-saltiniu-g-7602232.html,Vilnius, Senamiestyje, Šaltiniu g.
5/30/2022,195000,64,3046.875,3,3 kambariu butas ,4,5,1968,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-antakalnyje-zolyno-g-7602154.html,Vilnius, Antakalnyje, Žolyno g.
5/30/2022,81900,40,2047.5,1,1 kambario butas ,2,5,1990,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-zemieji-paneriai-vaduvos-g-7602115.html,Vilnius, Žemieji Paneriai, Vaduvos g.
5/30/2022,77600,43,1804.651163,2,2 kambariu butas ,1,4,1959,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-naujamiestyje-vandentiekio-g-7601662.html,Vilnius, Naujamiestyje, Vandentiekio g.
5/30/2022,420000,60,7000,3,3 kambariu butas ,5,NULL,2016,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-senamiestyje-j-basanaviciaus-g-7601560.html,Vilnius, Senamiestyje, J. Basanaviciaus g.
5/30/2022,210000,94,2234.042553,4,4 kambariu butas ,1,NULL,2018,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-vilniuje-balsiuose-zelmenu-g-7601572.html,Vilnius, Balsiuose, Želmenu g.
5/30/2022,330000,55,6000,2,2 kambariu butas ,3,NULL,2006,https://domoplius.lt/skelbimai/parduodamas-2-kambariu-butas-vilniuje-senamiestyje-mesiniu-g-7601554.html,Vilnius, Senamiestyje, Mesiniu g.
5/30/2022,145000,48.51,2989.074418,3,3 kambariu butas ,5,11,2022,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-justiniskese-rygos-g-7601620.html,Vilnius, Justiniškese, Rygos g.
5/30/2022,175000,92.9,1883.745963,4,4 kambariu butas ,5,11,2022,https://domoplius.lt/skelbimai/parduodamas-4-kambariu-butas-vilniuje-justiniskese-rygos-g-7601626.html,Vilnius, Justiniškese, Rygos g.
5/30/2022,40500,13.05,3103.448276,1,1 kambario butas ,1,5,2021,https://domoplius.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-vilkpedeje-titnago-g-7601608.html,Vilnius, Vilkpedeje, Titnago g.
5/30/2022,220000,53,4150.943396,3,3 kambariu butas ,1,NULL,1960,https://domoplius.lt/skelbimai/parduodamas-3-kambariu-butas-vilniuje-senamiestyje-kastonu-g-7601551.html,Vilnius, Senamiestyje, Kaštonu g.
